Correlation	Trait1: INIA_Hyp_RMA_1110::10406564	Trait2: INIA_Hyp_RMA_1110::10488816	Trait3: INIA_Hyp_RMA_1110::10374983	Trait4: INIA_Hyp_RMA_1110::10477595	Trait5: INIA_Hyp_RMA_1110::10362676	Trait6: INIA_Hyp_RMA_1110::10601705	Trait7: INIA_Hyp_RMA_1110::10384956	Trait8: INIA_Hyp_RMA_1110::10410984	Trait9: INIA_Hyp_RMA_1110::10540359	Trait10: INIA_Hyp_RMA_1110::10578683	Trait11: INIA_Hyp_RMA_1110::10384940	Trait12: INIA_Hyp_RMA_1110::10374998	Trait13: INIA_Hyp_RMA_1110::10477604	Trait14: INIA_Hyp_RMA_1110::10576610	Trait15: INIA_Hyp_RMA_1110::10374934	Trait16: INIA_Hyp_RMA_1110::10410995	Trait17: INIA_Hyp_RMA_1110::10430458	Trait18: INIA_Hyp_RMA_1110::10422272	Trait19: INIA_Hyp_RMA_1110::10601701	Trait20: INIA_Hyp_RMA_1110::10606658	Trait21: INIA_Hyp_RMA_1110::10410975	Trait22: BXDPublish::18069	Trait23: BXDPublish::11911	Trait24: BXDPublish::11007	Trait25: BXDPublish::11010	Trait26: BXDPublish::11009	Trait27: BXDPublish::11011	Trait28: BXDPublish::10873	Trait29: BXDPublish::10879	Trait30: BXDPublish::10878	
Trait 11: INIA_Hyp_RMA_1110::10384940: Erlec1 on Chr 11 @ 30.929784 Mb : endoplasmic reticulum lectin 1 : 	-0.177	-0.153	0.232	-0.531	0.001	-0.290	-0.053	-0.268	0.150	-0.005	1.000	0.095	-0.197	-0.369	0.349	0.141	-0.480	-0.278	-0.192	-0.291	0.398	0.189	-0.022	0.324	-0.093	-0.144	0.011	---	0.332	0.362	
Trait 12: INIA_Hyp_RMA_1110::10374998: Gpr75 on Chr 11 @ 30.891008 Mb : G protein-coupled receptor 75 : 	0.091	-0.429	0.181	-0.215	-0.112	0.026	-0.152	-0.277	0.208	-0.677	-0.034	1.000	-0.127	-0.426	0.224	-0.247	0.158	-0.010	-0.561	-0.183	0.242	0.085	-0.098	-0.171	0.374	-0.062	-0.044	---	-0.088	0.221	
Trait 13: INIA_Hyp_RMA_1110::10477604: Itch on Chr 2 @ 155.133532 Mb : itchy, E3 ubiquitin protein ligase : 	-0.412	0.111	0.339	-0.100	0.541	0.316	0.318	-0.012	0.402	0.314	-0.086	-0.056	1.000	0.520	0.025	0.157	0.032	0.000	-0.006	0.231	0.232	0.165	-0.129	-0.020	0.104	0.587	0.342	---	0.308	-0.255	
Trait 14: INIA_Hyp_RMA_1110::10576610: Pard3 on Chr 8 @ 127.064245 Mb : par-3 (partitioning defective 3) homolog (C. elegans) : 	-0.039	0.151	0.114	0.132	0.559	0.267	0.233	0.187	0.161	0.415	-0.258	-0.189	0.548	1.000	-0.281	0.280	0.224	0.168	0.551	0.233	-0.078	-0.128	0.059	0.017	-0.273	-0.037	0.239	---	0.136	-0.476	
Trait 15: INIA_Hyp_RMA_1110::10374934: Psme4 on Chr 11 @ 30.771983 Mb : proteasome (prosome, macropain) activator subunit 4 : 	-0.275	-0.455	-0.287	-0.511	-0.227	-0.137	-0.120	-0.461	0.247	-0.372	0.373	0.283	0.053	-0.197	1.000	0.113	-0.602	-0.656	-0.275	-0.458	0.503	0.209	-0.280	-0.329	-0.318	-0.224	0.024	---	-0.065	0.174	
Trait 16: INIA_Hyp_RMA_1110::10410995: Rasgrf2 on Chr 13 @ 92.024037 Mb : RAS protein-specific guanine nucleotide-releasing factor 2 : 	-0.362	-0.031	0.209	-0.053	0.096	-0.065	-0.067	-0.082	0.058	0.213	0.252	-0.093	0.268	0.385	0.182	1.000	-0.190	-0.068	0.412	-0.216	-0.057	-0.147	0.039	0.376	-0.065	-0.307	-0.088	---	0.332	0.238	
Trait 17: INIA_Hyp_RMA_1110::10430458: Sox10 on Chr 15 @ 79.154909 Mb : SRY-box containing gene 10 : 	0.213	0.214	0.053	0.398	0.280	0.251	0.186	0.234	-0.214	0.035	-0.567	0.141	-0.045	0.175	-0.556	-0.285	1.000	0.466	0.098	0.403	-0.337	-0.196	0.041	0.082	0.588	0.393	0.315	---	0.291	-0.318	
Trait 18: INIA_Hyp_RMA_1110::10422272: Sox21 on Chr 14 @ 118.233232 Mb : SRY-box containing gene 21 : 	0.185	0.381	0.220	0.272	-0.042	0.142	0.061	0.264	-0.110	0.271	-0.314	-0.053	-0.083	0.057	-0.698	-0.216	0.422	1.000	0.114	0.418	-0.251	-0.079	0.196	0.076	-0.015	0.053	-0.203	---	0.185	0.323	
Trait 19: INIA_Hyp_RMA_1110::10601701: Tmem35 on Chr X @ 134.295225 Mb : transmembrane protein 35 : 	-0.056	0.440	0.023	0.190	0.170	0.018	0.250	0.073	-0.144	0.566	-0.126	-0.479	0.006	0.438	-0.289	0.411	0.092	0.150	1.000	0.177	-0.236	-0.271	0.150	0.206	-0.288	0.081	0.338	---	-0.444	-0.124	
Trait 20: INIA_Hyp_RMA_1110::10606658: Trmt2b on Chr X @ 134.222955 Mb : TRM2 tRNA methyltransferase 2 homolog B (S. cerevisiae) : 	-0.066	0.395	0.200	-0.161	0.387	0.171	0.520	0.091	0.293	0.365	-0.241	-0.233	0.259	0.256	-0.387	-0.159	0.338	0.369	0.251	1.000	-0.072	0.105	0.059	0.264	0.126	0.540	0.280	---	-0.062	0.229	
Trait 21: INIA_Hyp_RMA_1110::10410975: Zcchc9 on Chr 13 @ 91.796533 Mb : zinc finger, CCHC domain containing 9 : 	-0.145	0.034	0.168	-0.609	0.146	-0.158	0.247	-0.467	0.206	-0.012	0.515	0.188	0.232	0.027	0.458	0.119	-0.351	-0.228	-0.134	-0.057	1.000	0.184	-0.062	-0.200	-0.088	-0.419	0.306	---	0.082	-0.009	
Trait 22: BXDPublish::18069: PubMed 27277803: RecordID/18069 : Phenotype: Central nervous system, behavior, learning and memory: Fear conditioning acquisition, freezing response time following the final CS-US pairing during training in adult males [%]. : 	-0.105	-0.146	0.010	-0.293	0.186	-0.023	0.034	-0.130	0.415	-0.060	0.180	0.060	0.244	-0.167	0.306	-0.098	-0.277	-0.164	-0.365	-0.005	0.271	1.000	-0.270	0.002	0.571	0.509	0.549	0.033	0.102	0.288	
Trait 23: BXDPublish::11911: PubMed 19958391: RecordID/11911 : Phenotype: Central nervous system, behavior: Fear conditioning response, activity during first tone-shock pairing for males and females [units] : 	0.098	-0.129	0.082	0.152	-0.071	-0.119	-0.184	0.170	0.026	-0.087	0.038	-0.102	-0.165	-0.007	-0.154	-0.060	-0.045	0.092	-0.044	-0.064	-0.005	-0.335	1.000	0.044	-0.332	-0.431	0.086	0.200	-0.230	-0.296	
Trait 24: BXDPublish::11007: PubMed 18830130: RecordID/11007 : Phenotype: Central nervous system, behavior, auditory system: Startle response to loud acoustic stimulus [force] : 	0.272	0.260	0.236	-0.086	0.173	0.182	0.378	0.251	0.231	0.322	0.225	-0.196	-0.052	-0.027	-0.389	0.152	0.121	0.144	0.169	0.380	-0.111	0.111	-0.063	1.000	0.127	0.084	0.097	---	-0.286	-0.393	
Trait 25: BXDPublish::11010: PubMed 18830130: RecordID/11010 : Phenotype: Central nervous system, behavior, learning and memory: Fear conditioning, freezing response time to conditioned cue after 24 hours [%] : 	-0.298	0.089	0.289	-0.282	-0.056	-0.048	0.094	0.084	-0.168	-0.368	-0.023	0.373	0.156	-0.287	-0.268	-0.101	0.602	0.165	-0.339	0.206	0.087	0.553	-0.275	0.127	1.000	0.567	0.465	---	0.714	-0.393	
Trait 26: BXDPublish::11009: PubMed 18830130: RecordID/11009 : Phenotype: Central nervous system, behavior, learning and memory: Fear conditioning, freezing response time to conditioned cue after 48 hours [%] : 	-0.355	0.048	0.103	-0.091	0.255	0.544	0.053	0.305	0.527	0.100	-0.188	-0.139	0.606	0.036	-0.181	-0.317	0.381	0.079	0.124	0.546	-0.392	0.488	-0.334	0.153	0.461	1.000	0.332	---	0.741	-0.312	
Trait 27: BXDPublish::11011: PubMed 18830130: RecordID/11011 : Phenotype: Central nervous system, behavior, learning and memory: Fear conditioning, freezing response to context after 48 hours [%] : 	0.059	-0.055	0.259	-0.481	0.409	0.086	0.183	-0.060	0.177	0.248	0.213	-0.166	0.367	0.243	0.035	-0.116	0.291	-0.286	0.383	0.376	0.311	0.462	0.063	0.014	0.473	0.378	1.000	---	0.286	-0.607	
Trait 28: BXDPublish::10873: PubMed 18185497: RecordID/10873 : Phenotype: Endocrinology, blood chemistry: Corticosterone in plasma, baseline control level [ng/ml] : 	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.092	0.257	---	---	---	---	1.000	-0.667	-0.617	
Trait 29: BXDPublish::10879: PubMed 17131200: RecordID/10879 : Phenotype: Central nervous system, morphology: Amygdala, basolateral complex (LaDL, LaVL, LaVM, BLP, and BLA), glial cell density [n/mm^3] : 	-0.067	-0.142	0.228	-0.114	-0.104	0.126	-0.369	0.030	-0.237	-0.243	0.174	0.053	0.416	0.056	-0.104	0.190	0.308	0.206	-0.341	-0.018	0.102	0.085	0.065	-0.101	0.836	0.560	0.359	-0.699	1.000	0.203	
Trait 30: BXDPublish::10878: PubMed 17131200: RecordID/10878 : Phenotype: Central nervous system, morphology: Amygdala, basolateral complex (LaDL, LaVL, LaVM, BLP, and BLA), neuron cell density [n/mm^3] : 	0.118	-0.141	0.234	-0.141	-0.201	-0.132	0.054	0.049	0.152	-0.081	0.319	0.206	-0.098	-0.418	0.141	0.092	-0.369	0.377	-0.035	0.128	0.010	0.298	-0.213	-0.326	-0.474	-0.286	-0.647	-0.657	0.111	1.000	



N	Trait1: INIA_Hyp_RMA_1110::10406564	Trait2: INIA_Hyp_RMA_1110::10488816	Trait3: INIA_Hyp_RMA_1110::10374983	Trait4: INIA_Hyp_RMA_1110::10477595	Trait5: INIA_Hyp_RMA_1110::10362676	Trait6: INIA_Hyp_RMA_1110::10601705	Trait7: INIA_Hyp_RMA_1110::10384956	Trait8: INIA_Hyp_RMA_1110::10410984	Trait9: INIA_Hyp_RMA_1110::10540359	Trait10: INIA_Hyp_RMA_1110::10578683	Trait11: INIA_Hyp_RMA_1110::10384940	Trait12: INIA_Hyp_RMA_1110::10374998	Trait13: INIA_Hyp_RMA_1110::10477604	Trait14: INIA_Hyp_RMA_1110::10576610	Trait15: INIA_Hyp_RMA_1110::10374934	Trait16: INIA_Hyp_RMA_1110::10410995	Trait17: INIA_Hyp_RMA_1110::10430458	Trait18: INIA_Hyp_RMA_1110::10422272	Trait19: INIA_Hyp_RMA_1110::10601701	Trait20: INIA_Hyp_RMA_1110::10606658	Trait21: INIA_Hyp_RMA_1110::10410975	Trait22: BXDPublish::18069	Trait23: BXDPublish::11911	Trait24: BXDPublish::11007	Trait25: BXDPublish::11010	Trait26: BXDPublish::11009	Trait27: BXDPublish::11011	Trait28: BXDPublish::10873	Trait29: BXDPublish::10879	Trait30: BXDPublish::10878	
Trait 1: INIA_Hyp_RMA_1110::10406564: Acot12 on Chr 13 @ 91.741518 Mb : acyl-CoA thioesterase 12 : 	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	38	38	16	16	16	16	4	16	16	
Trait 2: INIA_Hyp_RMA_1110::10488816: Ahcy on Chr 2 @ 155.05931 Mb : S-adenosylhomocysteine hydrolase : 	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	38	38	16	16	16	16	4	16	16	
Trait 3: INIA_Hyp_RMA_1110::10374983: Asb3 on Chr 11 @ 30.885462 Mb : ankyrin repeat and SOCS box-containing 3 : 	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	38	38	16	16	16	16	4	16	16	
Trait 4: INIA_Hyp_RMA_1110::10477595: Asip on Chr 2 @ 155.013531 Mb : agouti-signaling protein : 	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	38	38	16	16	16	16	4	16	16	
Trait 5: INIA_Hyp_RMA_1110::10362676: Cdk19 on Chr 10 @ 40.349308 Mb : cyclin-dependent kinase 19, transcript variant 2 : 	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	38	38	16	16	16	16	4	16	16	
Trait 6: INIA_Hyp_RMA_1110::10601705: Cenpi on Chr X @ 134.308155 Mb : centromere protein I : 	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	38	38	16	16	16	16	4	16	16	
Trait 7: INIA_Hyp_RMA_1110::10384956: Chac2 on Chr 11 @ 30.976707 Mb : ChaC, cation transport regulator homolog 2 (E. coli) : 	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	38	38	16	16	16	16	4	16	16	
Trait 8: INIA_Hyp_RMA_1110::10410984: Ckmt2 on Chr 13 @ 91.853387 Mb : creatine kinase, mitochondrial 2 : 	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	38	38	16	16	16	16	4	16	16	
Trait 9: INIA_Hyp_RMA_1110::10540359: Cntn4 on Chr 6 @ 105.677776 Mb : contactin 4 : 	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	38	38	16	16	16	16	4	16	16	
Trait 10: INIA_Hyp_RMA_1110::10578683: Eif2s2 on Chr 8 @ 52.196061 Mb : eukaryotic translation initiation factor 2, subunit 2 (beta) : 	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	38	38	16	16	16	16	4	16	16	
Trait 11: INIA_Hyp_RMA_1110::10384940: Erlec1 on Chr 11 @ 30.929784 Mb : endoplasmic reticulum lectin 1 : 	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	38	38	16	16	16	16	4	16	16	
Trait 12: INIA_Hyp_RMA_1110::10374998: Gpr75 on Chr 11 @ 30.891008 Mb : G protein-coupled receptor 75 : 	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	38	38	16	16	16	16	4	16	16	
Trait 13: INIA_Hyp_RMA_1110::10477604: Itch on Chr 2 @ 155.133532 Mb : itchy, E3 ubiquitin protein ligase : 	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	38	38	16	16	16	16	4	16	16	
Trait 14: INIA_Hyp_RMA_1110::10576610: Pard3 on Chr 8 @ 127.064245 Mb : par-3 (partitioning defective 3) homolog (C. elegans) : 	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	38	38	16	16	16	16	4	16	16	
Trait 15: INIA_Hyp_RMA_1110::10374934: Psme4 on Chr 11 @ 30.771983 Mb : proteasome (prosome, macropain) activator subunit 4 : 	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	38	38	16	16	16	16	4	16	16	
Trait 16: INIA_Hyp_RMA_1110::10410995: Rasgrf2 on Chr 13 @ 92.024037 Mb : RAS protein-specific guanine nucleotide-releasing factor 2 : 	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	38	38	16	16	16	16	4	16	16	
Trait 17: INIA_Hyp_RMA_1110::10430458: Sox10 on Chr 15 @ 79.154909 Mb : SRY-box containing gene 10 : 	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	38	38	16	16	16	16	4	16	16	
Trait 18: INIA_Hyp_RMA_1110::10422272: Sox21 on Chr 14 @ 118.233232 Mb : SRY-box containing gene 21 : 	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	38	38	16	16	16	16	4	16	16	
Trait 19: INIA_Hyp_RMA_1110::10601701: Tmem35 on Chr X @ 134.295225 Mb : transmembrane protein 35 : 	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	38	38	16	16	16	16	4	16	16	
Trait 20: INIA_Hyp_RMA_1110::10606658: Trmt2b on Chr X @ 134.222955 Mb : TRM2 tRNA methyltransferase 2 homolog B (S. cerevisiae) : 	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	38	38	16	16	16	16	4	16	16	
Trait 21: INIA_Hyp_RMA_1110::10410975: Zcchc9 on Chr 13 @ 91.796533 Mb : zinc finger, CCHC domain containing 9 : 	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	38	38	16	16	16	16	4	16	16	
Trait 22: BXDPublish::18069: PubMed 27277803: RecordID/18069 : Phenotype: Central nervous system, behavior, learning and memory: Fear conditioning acquisition, freezing response time following the final CS-US pairing during training in adult males [%]. : 	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	64	48	25	25	25	25	9	25	25	
Trait 23: BXDPublish::11911: PubMed 19958391: RecordID/11911 : Phenotype: Central nervous system, behavior: Fear conditioning response, activity during first tone-shock pairing for males and females [units] : 	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	48	60	19	19	19	19	6	26	26	
Trait 24: BXDPublish::11007: PubMed 18830130: RecordID/11007 : Phenotype: Central nervous system, behavior, auditory system: Startle response to loud acoustic stimulus [force] : 	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	25	19	25	25	25	25	3	7	7	
Trait 25: BXDPublish::11010: PubMed 18830130: RecordID/11010 : Phenotype: Central nervous system, behavior, learning and memory: Fear conditioning, freezing response time to conditioned cue after 24 hours [%] : 	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	25	19	25	25	25	25	3	7	7	
Trait 26: BXDPublish::11009: PubMed 18830130: RecordID/11009 : Phenotype: Central nervous system, behavior, learning and memory: Fear conditioning, freezing response time to conditioned cue after 48 hours [%] : 	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	25	19	25	25	25	25	3	7	7	
Trait 27: BXDPublish::11011: PubMed 18830130: RecordID/11011 : Phenotype: Central nervous system, behavior, learning and memory: Fear conditioning, freezing response to context after 48 hours [%] : 	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	25	19	25	25	25	25	3	7	7	
Trait 28: BXDPublish::10873: PubMed 18185497: RecordID/10873 : Phenotype: Endocrinology, blood chemistry: Corticosterone in plasma, baseline control level [ng/ml] : 	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	9	6	3	3	3	3	9	9	9	
Trait 29: BXDPublish::10879: PubMed 17131200: RecordID/10879 : Phenotype: Central nervous system, morphology: Amygdala, basolateral complex (LaDL, LaVL, LaVM, BLP, and BLA), glial cell density [n/mm^3] : 	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	25	26	7	7	7	7	9	38	38	
Trait 30: BXDPublish::10878: PubMed 17131200: RecordID/10878 : Phenotype: Central nervous system, morphology: Amygdala, basolateral complex (LaDL, LaVL, LaVM, BLP, and BLA), neuron cell density [n/mm^3] : 	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	25	26	7	7	7	7	9	38	38	

